urban,geo1_ca2011,age,sex,marst,nativity,citizen,yrsimm,edattain,labforce,occisco,hrswork1,inctot,incearn
urban,alberta,62,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,7400,0
rural,nova scotia,50,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,0 hours,20100,9300
urban,nova scotia,85,female,widowed,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,25800,0
urban,saskatchewan,81,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,34300,0
urban,british columbia,39,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,0 hours,21400,17300
urban,quebec,67,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,34000,0
urban,british columbia,74,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,50900,0
urban,british columbia,22,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,30 hours,11100,8600
rural,quebec,15,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",plant and machine operators and assemblers,7 hours,1600,1600
rural,nova scotia,50,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,25 hours,19700,19700
rural,ontario,40,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,40 hours,50400,44000
urban,ontario,20,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,12000,11300
rural,quebec,65,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",plant and machine operators and assemblers,0 hours,43800,38500
urban,british columbia,42,male,married/in union,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force",plant and machine operators and assemblers,50 hours,4800,0
urban,quebec,85,female,widowed,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,22800,0
urban,british columbia,29,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,11500,0
rural,ontario,22,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,12400,0
rural,manitoba,55,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",crafts and related trades workers,40 hours,55500,55500
urban,ontario,47,male,married/in union,foreign-born,naturalized citizen,8,university completed,"yes, in the labor force",technicians and associate professionals,44 hours,41400,40700
urban,ontario,65,female,married/in union,foreign-born,naturalized citizen,33,secondary completed,"yes, in the labor force",service workers and shop and market sales,25 hours,12900,11600
urban,ontario,31,female,single/never married,foreign-born,naturalized citizen,28,secondary completed,"yes, in the labor force",service workers and shop and market sales,35 hours,600,0
urban,quebec,56,male,married/in union,foreign-born,naturalized citizen,41,secondary completed,"yes, in the labor force",clerks,28 hours,48100,45200
urban,manitoba,27,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",crafts and related trades workers,40 hours,37600,37600
urban,ontario,46,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,125100,125100
urban,quebec,25,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,22300,0
urban,british columbia,50,male,married/in union,foreign-born,naturalized citizen,41,secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,11800,10000
urban,ontario,65,female,married/in union,foreign-born,naturalized citizen,38,university completed,"no, not in the labor force",niu (not in universe),0 hours,50400,0
urban,british columbia,34,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,36900,27500
urban,alberta,26,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,8200,6900
urban,quebec,30,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,16900,15800
urban,british columbia,73,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,134400,0
rural,new brunswick,76,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,10300,0
urban,alberta,33,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,58600,55900
urban,ontario,80,female,widowed,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,22600,0
urban,ontario,37,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,44 hours,2300,1000
rural,nova scotia,84,female,widowed,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,24700,0
urban,alberta,22,female,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,19100,19100
rural,newfoundland and labrador,58,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",service workers and shop and market sales,0 hours,25600,10600
urban,ontario,63,female,widowed,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,15 hours,63600,46800
urban,quebec,34,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,35 hours,43400,31900
unknown,prince edward island,76,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,20200,0
urban,british columbia,44,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,50 hours,12901,12900
urban,ontario,29,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,60500,58300
urban,ontario,30,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,29900,26000
urban,quebec,27,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,35 hours,37900,36400
urban,british columbia,30,male,single/never married,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,33000,32600
rural,quebec,49,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,60 hours,42900,42900
urban,alberta,36,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,50 hours,40801,39800
rural,ontario,55,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,48 hours,101300,101300
urban,ontario,47,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,54001,54000
urban,saskatchewan,72,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",elementary occupations,0 hours,19500,0
urban,ontario,50,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",clerks,40 hours,43700,43000
urban,ontario,38,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,107100,107100
urban,ontario,29,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,10800,0
urban,ontario,61,female,married/in union,foreign-born,not a citizen,41,secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,34400,34200
rural,ontario,32,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,72300,71600
urban,saskatchewan,85,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,12700,0
urban,ontario,63,female,separated/divorced/spouse absent,foreign-born,naturalized citizen,23,university completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,99500,99500
urban,british columbia,85,female,widowed,foreign-born,naturalized citizen,41,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,16500,0
rural,ontario,57,male,married/in union,foreign-born,naturalized citizen,41,secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,104600,101500
urban,quebec,69,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,15100,0
urban,quebec,24,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,8 hours,18800,14400
urban,ontario,23,male,married/in union,foreign-born,not a citizen,5,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,37700,36600
urban,newfoundland and labrador,54,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,38800,0
urban,quebec,42,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,40 hours,39100,39100
urban,quebec,54,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,35 hours,88600,88600
urban,nova scotia,66,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,23 hours,35300,10600
urban,ontario,19,female,married/in union,foreign-born,naturalized citizen,5,secondary completed,"no, not in the labor force",technicians and associate professionals,0 hours,1100,500
rural,ontario,28,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,35 hours,34700,34000
urban,saskatchewan,24,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,40 hours,21800,20300
urban,ontario,41,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",38 hours,104000,103800
urban,quebec,61,female,widowed,foreign-born,naturalized citizen,38,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,17800,0
urban,ontario,20,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,7 hours,3300,0
urban,ontario,50,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",crafts and related trades workers,40 hours,69400,68700
urban,british columbia,34,female,single/never married,foreign-born,not a citizen,4,university completed,"no, not in the labor force",technicians and associate professionals,0 hours,21600,12300
urban,quebec,41,female,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force",service workers and shop and market sales,36 hours,12100,5900
urban,quebec,57,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,63000,63000
urban,ontario,53,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,40400,34100
urban,alberta,17,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",crafts and related trades workers,0 hours,6600,6600
urban,alberta,63,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,43300,0
urban,alberta,29,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,60 hours,41600,41600
urban,ontario,67,female,single/never married,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,42700,38900
rural,alberta,56,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",crafts and related trades workers,0 hours,66400,11700
urban,ontario,20,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,1201,1200
urban,ontario,32,female,married/in union,foreign-born,not a citizen,1,university completed,"yes, in the labor force",service workers and shop and market sales,15 hours,3500,0
urban,quebec,65,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,14 hours,25000,3500
urban,british columbia,45,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,44100,38900
urban,ontario,61,male,separated/divorced/spouse absent,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force",clerks,40 hours,33700,32800
rural,alberta,30,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,0 hours,16500,12800
urban,quebec,61,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,26500,0
urban,quebec,78,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,13100,0
urban,british columbia,68,female,married/in union,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,15300,0
urban,quebec,49,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,32 hours,73600,71100
urban,british columbia,65,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,21000,0
urban,new brunswick,68,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,40200,0
urban,ontario,44,male,separated/divorced/spouse absent,foreign-born,not a citizen,niu (not in universe),less than primary completed,"yes, in the labor force",plant and machine operators and assemblers,70 hours,40700,30400
urban,ontario,61,female,widowed,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,26 hours,21000,18700
urban,british columbia,83,female,widowed,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,22900,0
rural,quebec,55,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,50 hours,162300,162000
urban,quebec,63,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",niu (not in universe),0 hours,13400,0
urban,british columbia,69,male,married/in union,foreign-born,naturalized citizen,8,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,2400,0
urban,ontario,59,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",niu (not in universe),0 hours,600,0
rural,ontario,33,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,58800,58800
urban,ontario,85,female,widowed,foreign-born,naturalized citizen,33,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,17000,0
urban,alberta,37,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,40 hours,39500,39500
rural,ontario,45,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,40 hours,61100,1400
urban,alberta,72,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,39800,3000
urban,ontario,25,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,0 hours,20300,19600
urban,quebec,52,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,46 hours,39700,39700
urban,alberta,41,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,50 hours,169000,118900
rural,ontario,75,female,widowed,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,55000,0
rural,british columbia,51,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,59200,48400
urban,british columbia,35,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",45 hours,105800,105500
urban,ontario,20,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,16 hours,18800,13200
rural,saskatchewan,29,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",crafts and related trades workers,40 hours,66100,66100
urban,british columbia,23,male,single/never married,foreign-born,naturalized citizen,13,secondary completed,"no, not in the labor force",crafts and related trades workers,0 hours,10300,8900
rural,quebec,19,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",skilled agricultural and fishery workers,15 hours,3500,3500
rural,alberta,56,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,38 hours,53300,53300
urban,alberta,83,male,married/in union,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,47500,6300
urban,british columbia,54,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,8800,0
urban,alberta,30,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",niu (not in universe),0 hours,300,0
urban,british columbia,15,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,0 hours,5900,5900
urban,quebec,54,female,married/in union,foreign-born,naturalized citizen,38,secondary completed,"no, not in the labor force","legislators, senior officials and managers",0 hours,1300,1000
urban,ontario,48,male,married/in union,foreign-born,not a citizen,4,university completed,"yes, in the labor force",technicians and associate professionals,0 hours,41500,37600
urban,ontario,20,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",clerks,0 hours,900,900
urban,quebec,52,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",plant and machine operators and assemblers,40 hours,61500,61700
urban,quebec,37,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,18 hours,24400,10900
urban,quebec,47,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,0 hours,42700,36200
urban,quebec,42,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",technicians and associate professionals,30 hours,33600,17000
rural,alberta,27,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",technicians and associate professionals,0 hours,28900,25200
urban,ontario,46,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,48 hours,49700,49100
rural,quebec,36,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",60 hours,23800,15000
rural,new brunswick,49,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",skilled agricultural and fishery workers,55 hours,29800,12700
urban,ontario,21,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,2300,1700
urban,ontario,58,female,widowed,foreign-born,not a citizen,3,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,5500,0
urban,quebec,34,male,single/never married,foreign-born,not a citizen,2,university completed,"yes, in the labor force",elementary occupations,40 hours,17900,17100
urban,quebec,59,male,married/in union,foreign-born,naturalized citizen,33,less than primary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,47100,46900
urban,ontario,15,male,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",clerks,0 hours,700,700
urban,quebec,43,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",10 hours,24600,23900
urban,ontario,66,female,married/in union,foreign-born,naturalized citizen,18,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,12700,0
urban,ontario,77,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,18400,0
urban,alberta,36,female,single/never married,foreign-born,naturalized citizen,28,secondary completed,"yes, in the labor force",plant and machine operators and assemblers,40 hours,63400,61100
rural,british columbia,53,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,40 hours,12000,10400
rural,british columbia,53,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,0 hours,34500,34300
urban,ontario,56,female,single/never married,foreign-born,naturalized citizen,33,university completed,"no, not in the labor force",niu (not in universe),0 hours,1300,0
urban,ontario,46,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,81100,80300
urban,quebec,57,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",professionals,0 hours,43800,35200
urban,british columbia,22,male,single/never married,foreign-born,not a citizen,5,secondary completed,"yes, in the labor force",crafts and related trades workers,50 hours,16100,15000
rural,british columbia,32,male,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",clerks,40 hours,12800,11100
urban,quebec,50,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",clerks,40 hours,49900,49900
urban,ontario,56,female,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,65400,62600
urban,ontario,53,male,married/in union,foreign-born,naturalized citizen,28,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,21400,0
urban,ontario,80,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,30700,0
urban,british columbia,63,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,20300,0
rural,nova scotia,64,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,12200,0
urban,alberta,35,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",clerks,20 hours,21500,20800
urban,ontario,57,female,married/in union,foreign-born,naturalized citizen,23,university completed,"yes, in the labor force",professionals,15 hours,120700,120700
urban,new brunswick,32,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,4 hours,4700,1300
rural,nova scotia,20,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,6001,3000
rural,ontario,43,female,married/in union,foreign-born,naturalized citizen,38,secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,41600,36300
urban,quebec,44,female,married/in union,foreign-born,naturalized citizen,23,less than primary completed,"yes, in the labor force",elementary occupations,25 hours,23600,10900
urban,alberta,54,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",60 hours,67600,67600
urban,ontario,49,female,married/in union,foreign-born,naturalized citizen,13,university completed,"yes, in the labor force",technicians and associate professionals,37 hours,32800,32300
rural,alberta,79,male,married/in union,foreign-born,naturalized citizen,38,less than primary completed,"yes, in the labor force","legislators, senior officials and managers",80 hours,32600,8000
urban,british columbia,53,male,married/in union,foreign-born,naturalized citizen,18,secondary completed,"yes, in the labor force","legislators, senior officials and managers",40 hours,58300,58300
urban,british columbia,59,female,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",professionals,36 hours,67000,60000
rural,quebec,51,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,38 hours,35000,35000
urban,british columbia,34,male,married/in union,foreign-born,naturalized citizen,8,university completed,"yes, in the labor force",service workers and shop and market sales,30 hours,32501,32500
urban,ontario,75,female,married/in union,foreign-born,naturalized citizen,41,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,10700,0
rural,ontario,32,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",elementary occupations,0 hours,20700,12800
urban,ontario,22,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"no, not in the labor force",service workers and shop and market sales,0 hours,7900,6400
urban,quebec,67,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,15800,0
rural,quebec,20,female,single/never married,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",clerks,32 hours,3700,0
rural,alberta,58,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,60 hours,43300,43200
urban,ontario,77,female,widowed,foreign-born,naturalized citizen,38,less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,15500,0
urban,ontario,72,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,26600,0
urban,quebec,60,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",elementary occupations,40 hours,25400,23900
urban,quebec,56,male,married/in union,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",service workers and shop and market sales,40 hours,64700,59900
rural,alberta,49,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,49800,44300
urban,ontario,20,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",niu (not in universe),0 hours,800,0
rural,alberta,25,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,0 hours,300,0
urban,ontario,48,female,single/never married,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,46000,45500
urban,quebec,24,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",service workers and shop and market sales,35 hours,20400,19800
urban,quebec,49,female,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"no, not in the labor force",niu (not in universe),0 hours,17100,0
urban,quebec,18,male,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,1200,0
urban,quebec,61,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,32 hours,33600,33200
urban,ontario,63,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,23101,1
urban,alberta,26,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",crafts and related trades workers,48 hours,53600,53600
rural,quebec,25,female,single/never married,native-born,citizen by birth,niu (not in universe),secondary completed,"no, not in the labor force",niu (not in universe),0 hours,15400,9200
urban,saskatchewan,58,male,married/in union,native-born,citizen by birth,niu (not in universe),less than primary completed,"yes, in the labor force",service workers and shop and market sales,40 hours,47000,37600
urban,british columbia,75,female,separated/divorced/spouse absent,foreign-born,naturalized citizen,41,secondary completed,"no, not in the labor force",niu (not in universe),0 hours,17800,0
urban,british columbia,25,female,single/never married,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",technicians and associate professionals,40 hours,12300,11700
rural,ontario,40,male,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force","legislators, senior officials and managers",50 hours,46600,44900
urban,alberta,47,female,married/in union,native-born,citizen by birth,niu (not in universe),secondary completed,"yes, in the labor force",technicians and associate professionals,40 hours,44900,44900
rural,ontario,41,female,married/in union,foreign-born,naturalized citizen,23,secondary completed,"yes, in the labor force",niu (not in universe),0 hours,500,0
urban,saskatchewan,68,male,separated/divorced/spouse absent,native-born,citizen by birth,niu (not in universe),university completed,"yes, in the labor force",professionals,30 hours,54400,43800
